1_liberary_count,1_liberary_related_count,1_liberary_unrelated_count,1_click_des_count,1_control_variable,1_strategy_count,1_click_restart_count,1_click_determine_count,1_related_time,1_unrelated_time,1_launch_action_diff,1_first_des_time,1_score,2_liberary_count,2_liberary_related_count,2_liberary_unrelated_count,2_click_des_count,2_control_variable,2_strategy_count,2_click_restart_count,2_click_determine_count,2_related_time,2_unrelated_time,2_launch_action_diff,2_first_des_time,2_score,3_liberary_count,3_liberary_related_count,3_liberary_unrelated_count,3_click_des_count,3_control_variable,3_strategy_count,3_click_restart_count,3_click_determine_count,3_related_time,3_unrelated_time,3_launch_action_diff,3_first_des_time,3_score,4_liberary_count,4_liberary_related_count,4_liberary_unrelated_count,4_click_des_count,4_control_variable,4_strategy_count,4_click_restart_count,4_click_determine_count,4_related_time,4_unrelated_time,4_launch_action_diff,4_first_des_time,4_score,5_liberary_count,5_liberary_related_count,5_liberary_unrelated_count,5_click_des_count,5_control_variable,5_strategy_count,5_click_restart_count,5_click_determine_count,5_related_time,5_unrelated_time,5_launch_action_diff,5_first_des_time,5_score,6_liberary_count,6_liberary_related_count,6_liberary_unrelated_count,6_click_des_count,6_control_variable,6_strategy_count,6_click_restart_count,6_click_determine_count,6_related_time,6_unrelated_time,6_launch_action_diff,6_first_des_time,6_score,name
2,0,2,0,0,0,0,7,0,16,96,28,40,1,1,0,0,0,0,0,4,0,0,27,5,80,0,0,0,0,0,0,0,0,0,0,96,5,100,0,0,0,0,0,2,1,19,0,0,8,4,0,0,0,0,0,0,0,0,10,0,0,21,12,60,0,0,0,0,0,0,0,10,0,0,9,4,20,110160764
2,1,1,0,0,0,0,10,12,15,56,18,40,1,1,0,2,9,0,0,33,11,0,20,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,29,21,60,0,0,0,0,0,0,0,10,0,0,25,14,0,110160788
3,3,0,0,0,0,0,7,22,0,29,23,70,2,1,1,0,0,0,0,3,19,11,15,6,80,2,2,0,0,0,0,0,0,14,0,11,5,100,1,0,1,0,0,1,1,15,0,14,10,8,100,1,0,1,0,0,0,0,6,0,7,13,5,60,1,0,1,2,0,2,2,19,0,3,14,6,0,110160799
3,2,1,0,0,0,0,10,12,7,18,12,100,1,1,0,0,13,0,1,47,18,0,13,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,0,4,12,8,60,4,2,2,0,0,0,0,12,10,17,15,11,20,114231891
2,1,1,0,0,1,1,10,15,13,59,12,40,5,1,4,0,1,0,0,9,1,16,67,9,0,3,1,2,1,0,0,2,0,6,4,10,6,80,0,0,0,0,0,4,2,22,0,0,10,2,0,1,0,1,0,0,3,5,35,0,16,40,1,60,1,1,0,0,0,2,2,12,51,0,18,5,0,110160805
0,0,0,0,0,0,0,7,0,0,40,11,40,0,0,0,0,3,0,0,17,0,0,11,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,15,3,60,1,0,1,2,0,0,0,10,0,9,15,7,40,110164344
0,0,0,0,0,3,1,11,0,0,43,14,40,2,0,2,1,0,0,1,20,0,13,40,318,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,35,0,0,20,10,60,1,0,1,0,0,0,0,9,0,7,68,5,40,113132564
4,3,1,0,0,0,0,9,14,8,66,31,40,9,3,6,1,0,0,0,6,38,34,131,19,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,24,0,1,28,13,60,0,0,0,0,0,0,0,13,0,0,44,9,40,110160733
1,1,0,0,0,3,1,17,8,0,10,4,70,2,1,1,0,0,0,1,15,8,3,52,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,16,0,15,9,2,60,1,0,1,0,0,0,0,7,0,13,43,2,40,110160724
2,0,2,0,0,0,0,5,0,18,10,6,40,6,3,3,1,1,0,0,4,26,34,45,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,24,14,60,3,2,1,1,0,0,0,8,13,7,30,26,20,110160782
